0,k,2,0,0,0.000000e+00,0.000000e+00
1,k,2,0,2,3.600000e-07,0.000000e+00,1.800000e-07
2,k,2,0,8,3.410000e-07,0.000000e+00,4.262500e-08
3,k,2,4,24,3.940000e-07,1.666667e-01,1.641667e-08
4,k,2,20,64,5.730000e-07,3.125000e-01,8.953125e-09
5,k,2,68,160,1.021000e-06,4.250000e-01,6.381250e-09
6,k,2,196,384,2.224000e-06,5.104167e-01,5.791667e-09
7,k,2,516,896,5.252000e-06,5.758929e-01,5.861607e-09
8,k,2,1284,2048,1.209700e-05,6.269531e-01,5.906738e-09
9,k,2,3076,4608,2.794900e-05,6.675347e-01,6.065321e-09
10,k,2,7172,10240,7.212600e-05,7.003906e-01,7.043555e-09
11,k,2,16388,22528,1.727920e-04,7.274503e-01,7.670099e-09
12,k,2,36868,49152,3.765530e-04,7.500814e-01,7.660990e-09
13,k,2,81924,106496,8.188800e-04,7.692683e-01,7.689303e-09
14,k,2,180228,229376,1.811991e-03,7.857317e-01,7.899654e-09
15,k,2,393220,491520,3.904105e-03,8.000081e-01,7.942922e-09
16,k,2,851972,1048576,1.217002e-02,8.125038e-01,1.160623e-08
17,k,2,1835012,2228224,2.623924e-02,8.235312e-01,1.177585e-08
18,k,2,3932164,4718592,5.684527e-02,8.333342e-01,1.204708e-08
19,k,2,8388612,9961472,1.223027e-01,8.421057e-01,1.227757e-08
20,k,2,17825796,20971520,2.614901e-01,8.500002e-01,1.246882e-08
21,k,2,37748740,44040192,5.543946e-01,8.571429e-01,1.258838e-08
22,k,2,79691780,92274688,1.170810e+00,8.636364e-01,1.268831e-08
23,k,2,167772164,192937984,2.480975e+00,8.695652e-01,1.285893e-08
24,k,2,352321540,402653184,5.278311e+00,8.750000e-01,1.310883e-08
25,k,2,738197508,838860800,1.116680e+01,8.800000e-01,1.331186e-08
26,k,2,1543503876,1744830464,2.364090e+01,8.846154e-01,1.354911e-08
